index,code,token,lstm_surp,mean_rt,entropy,entred,rt_spill_over,rt_spill_over_inc_unk,ngram_surp,gru_surp,tanh_surp,count,log_freq,len
1832,24541,an,8.97212028503418,281.3047368421053,7.131937026977539,2.54799747467041,,290.62368421052633,4.71148,22.96345901489257,8.163302421569824,3143,3.49734438101758,2
4446,24543,devastated,16.97654914855957,378.9368421052632,9.353196144104004,0.5993146896362305,343.18736842105267,343.18736842105267,17.0957,21.96523666381836,18.499242782592773,3,0.47712125471966244,10
183,24544,the,9.38454532623291,343.18736842105267,3.098015069961548,6.255181074142456,,361.2473684210526,3.54835,6.991305351257324,4.269806385040283,41100,4.613841821876069,3
779,24546,of,3.423914670944214,320.4715789473684,8.37044906616211,2.471181869506836,,305.3084210526316,3.79466,14.044063568115234,5.1755690574646,22921,4.360233561157832,2
1659,24548,and,4.457965850830078,398.36,8.75822925567627,0.0,,377.0405263157895,3.65207,10.24246883392334,5.797372817993164,16115,4.207230309848353,3
2201,24550,with,7.890337944030762,500.59,8.311531066894531,1.12420654296875,350.2805263157895,350.2805263157895,7.6486,8.264652252197266,7.540949821472168,4245,3.6278776945799716,4
4091,24551,waves,16.510419845581055,350.2805263157895,7.269003391265869,1.042527675628662,315.84315789473686,315.84315789473686,16.6797,34.6062126159668,16.288469314575195,14,1.146128035678238,5
3901,24552,100,15.984840393066406,315.84315789473686,6.442385673522949,0.8266177177429199,381.9378947368421,381.9378947368421,12.9443,70.24765014648438,11.70506191253662,270,2.4313637641589874,3
1959,24553,to,5.4632568359375,381.9378947368421,7.065546035766602,0.0,373.41263157894736,373.41263157894736,5.33454,9.037421226501465,5.420102119445801,22191,4.34617687342157,2
4447,24554,130,13.80715560913086,373.41263157894736,9.2674560546875,0.0,380.2042105263158,380.2042105263158,13.5662,26.51883888244629,15.585760116577148,21,1.3222192947339193,3
3456,24555,feet,8.719931602478027,380.2042105263158,8.83445930480957,0.4329967498779297,,359.46526315789475,13.6126,16.8270206451416,13.892763137817385,77,1.8864907251724818,4
1660,24557,and,4.537417888641357,329.2263157894737,6.079954147338867,0.0,,389.6894736842105,5.48786,10.249907493591309,5.797372817993164,16115,4.207230309848353,3
